"gene","logFC","AveExpr","t","pvalue","padj"
"MPV17",0.1187,10.6283,0.7395,0.4596,0.626
"GTF3C2",-0.2538,11.2669,-1.7436,0.08122,0.1923
"EIF2B4",-0.0412,10.2505,-0.3684,0.7125,0.8223
"SNX17",0.0218,12.0865,0.1394,0.8891,0.9379
"ZNF513",-0.1329,9.413,-0.7673,0.4429,0.6116
"PPM1G",-0.3409,12.0391,-2.2705,0.02318,0.07757
"NRBP1",-0.531,11.9073,-4.3486,1.37e-05,0.00023
"KRTCAP3",0.9818,10.0673,3.0027,0.002676,0.01539
"IFT172",0.3812,10.0945,1.5014,0.1332,0.2737
"FNDC4",1.6829,8.1382,4.3087,1.642e-05,0.0002674
"C2orf16",0.2448,7.4746,1.2448,0.2132,0.3793
"ZNF512",-0.1749,10.2077,-0.8926,0.3721,0.5467
"CCDC121",0.5069,7.8923,2.1437,0.03205,0.09888
"GPN1",-0.0802,10.7686,-0.5551,0.5788,0.7245
"SUPT7L",-0.0978,10.7457,-0.948,0.3431,0.5176
"SLC4A1AP",-0.2976,10.1774,-2.5007,0.0124,0.04853
"RBKS",0.8151,8.2725,3.179,0.001478,0.009695
"MRPL33",0.5947,10.3798,3.007,0.002638,0.01523
"BRE",0.0495,10.3597,0.3784,0.7052,0.817
"FOSL2",-0.4638,12.9276,-1.413,0.1577,0.3081
"PLB1",-0.7132,7.7503,-2.0585,0.03954,0.1152
"PPP1CB",-0.1659,13.402,-1.0352,0.3006,0.4754
"SPDYA",-0.2846,10.6717,-1.9914,0.04644,0.1293
"TRMT61B",-0.2713,9.0169,-1.8916,0.05855,0.1522
"WDR43",-0.4021,10.6968,-2.8031,0.005061,0.02456
"TOGARAM2",1.5754,7.4745,2.8102,0.004951,0.02411
"C2orf71",-2.2746,6.484,-3.2268,0.001252,0.00858
"CLIP4",-0.5494,10.3981,-2.0861,0.03697,0.1098
"ALK",-1.7711,6.4475,-2.9237,0.003459,0.01862
"YPEL5",0.2786,11.9766,1.4262,0.1538,0.3024
"LBH",0.2316,12.4396,1.0465,0.2953,0.4693
"LCLAT1",-0.3721,9.7994,-2.5177,0.01181,0.04675
"CAPN13",1.1074,9.2721,2.5817,0.009831,0.04071
"GALNT14",-0.5683,8.742,-1.2386,0.2155,0.3815
"CAPN14",-2.7959,6.8092,-6.0164,1.783e-09,1.127e-07
"EHD3",-0.9025,9.3838,-3.5964,0.0003226,0.002999
"XDH",-0.0976,8.1181,-0.22,0.8259,0.8988
"SRD5A2",4.5481,6.9527,5.7132,1.109e-08,5.311e-07
"MEMO1",-0.3459,9.1148,-2.0625,0.03916,0.1144
"DPY30",0.1596,10.7321,0.8353,0.4035,0.5754
"SPAST",-0.7141,10.2313,-4.6525,3.279e-06,7.014e-05
"SLC30A6",-0.1949,10.5779,-1.5061,0.132,0.2722
"NLRC4",0.7238,8.0414,2.5408,0.01106,0.04457
"YIPF4",0.1961,11.174,1.5069,0.1318,0.272
"BIRC6",0.027,11.6797,0.1439,0.8855,0.9361
"TTC27",-0.1018,9.5699,-0.6536,0.5134,0.672
"LTBP1",-1.3742,11.6882,-3.7378,0.0001856,0.001912
"RASGRP3",0.1856,9.0461,0.6807,0.496,0.6578
"FAM98A",-0.0789,10.386,-0.6522,0.5143,0.6727
"CRIM1",0.0886,11.9484,0.4092,0.6824,0.801
"FEZ2",0.1713,10.6139,0.9978,0.3184,0.4942
"VIT",-3.3248,6.5327,-4.915,8.877e-07,2.353e-05
"STRN",-0.4069,10.6862,-2.6727,0.007524,0.03326
"HEATR5B",-0.0369,10.4765,-0.2337,0.8152,0.8924
"GPATCH11",0.0825,9.1399,0.4862,0.6268,0.7611
"EIF2AK2",-0.3516,11.6364,-1.8085,0.07053,0.1738
"CEBPZOS",-0.0347,10.7974,-0.2028,0.8393,0.9078
"CEBPZ",-0.1848,11.1633,-1.3359,0.1816,0.34
"NDUFAF7",-0.1171,9.2456,-0.8096,0.4182,0.5892
"PRKD3",-0.1866,10.7548,-0.8716,0.3834,0.5573
"QPCT",1.4888,8.578,3.3717,0.0007471,0.005759
"CDC42EP3",-0.4789,11.1437,-1.361,0.1735,0.3293
"RMDN2",1.1663,8.4644,3.451,0.0005586,0.004569
"CYP1B1",-1.1572,10.8337,-2.5733,0.01007,0.0415
"ATL2",-0.2986,11.2743,-1.3306,0.1833,0.3423
"HNRNPLL",-0.1279,10.5073,-0.8881,0.3745,0.5494
"GALM",0.963,9.9542,4.1578,3.213e-05,0.0004584
"SRSF7",-0.0703,11.9229,-0.5004,0.6168,0.7532
"GEMIN6",0.1181,8.8254,0.669,0.5035,0.6642
"DHX57",-0.4094,9.9226,-2.4169,0.01565,0.05792
"MORN2",0.5384,8.99,1.9417,0.05217,0.1402
"ARHGEF33",0.2451,6.6529,0.5082,0.6113,0.7493
"SOS1",-0.2986,11.0823,-1.9524,0.05089,0.1378
"MAP4K3",0.2028,10.4854,1.1245,0.2608,0.4325
"TMEM178A",-1.3646,7.4999,-2.4775,0.01323,0.0512
"THUMPD2",-0.1277,8.7527,-0.7414,0.4585,0.625
"SLC8A1",-0.1324,9.411,-0.4257,0.6704,0.7926
"C2orf91",-0.8918,6.5583,-1.1082,0.2678,0.4402
"PKDCC",-1.6669,9.3915,-2.8482,0.004396,0.02207
"EML4",-0.125,11.9222,-0.5516,0.5812,0.7265
"COX7A2L",0.1329,11.7115,0.7018,0.4828,0.646
"KCNG3",-0.1875,6.738,-0.3791,0.7046,0.8168
"MTA3",0.2788,10.4291,1.6911,0.09083,0.2091
"OXER1",-1.0219,7.0488,-2.676,0.007451,0.03305
"HAAO",-0.8134,8.0938,-2.7093,0.006743,0.03061
"ZFP36L2",0.124,12.5952,0.4673,0.6403,0.7709
"THADA",-0.0079,10.7076,-0.0554,0.9558,0.9756
"C1GALT1C1L",0.4403,6.5722,0.7936,0.4274,0.5981
"PLEKHH2",0.9888,9.5335,2.7279,0.006374,0.02931
"DYNC2LI1",0.3044,9.3819,1.6931,0.09044,0.2084
"LRPPRC",-0.0821,12.2748,-0.5257,0.5991,0.7399
"PPM1B",0.1621,10.8238,1.3895,0.1647,0.3177
"SLC3A1",0.5542,9.471,3.19,0.001423,0.009463
"PREPL",0.5009,11.1638,2.9822,0.002862,0.01619
"CAMKMT",-0.038,7.9604,-0.2431,0.808,0.8881
"SIX3",-2.0968,6.3032,-2.4003,0.01638,0.05992
"SIX2",-0.8435,7.6203,-1.2749,0.2023,0.366
"SRBD1",-0.0957,9.5281,-0.6587,0.5101,0.6694
"PRKCE",0.4189,9.7573,1.6706,0.09481,0.216
"EPAS1",0.6797,14.064,1.969,0.04896,0.1341
"ATP6V1E2",-0.5907,8.3011,-2.7097,0.006734,0.03058
"RHOQ",-0.1642,11.1713,-1.1452,0.2521,0.4232
"PIGF",0.0191,10.1274,0.1332,0.894,0.9412
"CRIPT",0.3069,9.5277,1.3985,0.162,0.3136
"SOCS5",-0.1548,10.1351,-1.1521,0.2493,0.4203
"MCFD2",0.1882,12.0926,1.3208,0.1866,0.3466
"TTC7A",0.2593,11.2828,1.1706,0.2418,0.4115
"C2orf61",0.8088,9.7042,4.1861,2.838e-05,0.0004153
"CALM2",0.6941,13.9634,3.4456,0.0005697,0.004631
"EPCAM",1.1045,12.6637,4.1149,3.873e-05,0.0005293
"MSH2",-0.1866,10.3523,-0.765,0.4442,0.6126
"KCNK12",0.6281,6.2376,1.2937,0.1958,0.358
"MSH6",-0.4266,11.8393,-2.3722,0.01768,0.0636
"FBXO11",-0.1858,11.257,-1.7671,0.07721,0.1854
"FOXN2",0.2989,9.9581,1.6379,0.1014,0.2271
"PPP1R21",-0.0264,10.0762,-0.1999,0.8415,0.9094
"STON1",-0.8729,9.292,-3.5475,0.000389,0.003465
"GTF2A1L",-0.6028,6.3641,-0.9746,0.3298,0.5051
"STON1-GTF2A1L",-0.7912,8.1359,-2.9657,0.00302,0.01682
"NRXN1",-0.7722,6.8971,-0.8862,0.3755,0.5502
"CHAC2",-0.5603,7.696,-1.9703,0.0488,0.1337
"ASB3",-0.1253,9.4345,-0.9089,0.3634,0.538
"ERLEC1",0.3897,11.7826,2.5325,0.01133,0.04527
"GPR75",-0.4715,6.8229,-1.8585,0.0631,0.1603
"GPR75-ASB3",-0.1439,9.2831,-1.0667,0.2861,0.4596
"PSME4",-0.7004,11.6826,-4.794,1.635e-06,3.905e-05
"ACYP2",0.0055,8.473,0.0276,0.978,0.9882
"C2orf73",1.9244,6.3245,3.0179,0.002545,0.01484
"SPTBN1",0.3345,14.1457,1.639,0.1012,0.2267
"EML6",-1.066,7.2036,-2.0462,0.04074,0.1177
"RTN4",-0.2679,13.186,-1.9645,0.04947,0.135
"CLHC1",0.0656,7.5216,0.2525,0.8007,0.8826
"RPS27A",-0.1625,12.5562,-0.7929,0.4278,0.5984
"MTIF2",-0.2341,10.2568,-1.4279,0.1533,0.3016
"CCDC88A",-0.1428,10.588,-0.5361,0.5919,0.7342
"CFAP36",0.4838,10.2574,2.3036,0.02124,0.07296
"PPP4R3B",-0.0679,11.9411,-0.5656,0.5717,0.7186
"PNPT1",-0.3254,10.2887,-2.093,0.03635,0.1084
"EFEMP1",0.2322,12.1873,0.6096,0.5421,0.6947
"CCDC85A",0.1293,8.1267,0.3119,0.7551,0.8526
"VRK2",-0.7135,10.1884,-3.2364,0.00121,0.008359
"FANCL",-0.3513,9.8873,-1.8771,0.06051,0.1555
"BCL11A",-2.4808,8.6177,-5.9638,2.465e-09,1.458e-07
"PAPOLG",-0.2297,9.6797,-1.8579,0.06318,0.1604
"REL",-0.0347,10.4174,-0.1345,0.893,0.9404
"PUS10",-0.012,8.734,-0.0585,0.9534,0.9739
"PEX13",0.0489,10.5705,0.3496,0.7267,0.8324
"KIAA1841",0.2593,9.0928,1.1834,0.2366,0.4057
"C2orf74",0.4522,8.5521,1.2602,0.2076,0.3728
"AHSA2",-0.3202,11.4198,-1.7748,0.07593,0.1833
"USP34",-0.2294,12.089,-1.4882,0.1367,0.2783
"XPO1",-0.3569,12.607,-2.5267,0.01151,0.04582
"FAM161A",-0.1834,8.1219,-0.5743,0.5658,0.7141
"CCT4",-0.4171,12.5035,-2.5644,0.01033,0.0423
"COMMD1",0.3073,10.5877,1.3726,0.1699,0.3249
"B3GNT2",-0.0554,10.829,-0.2301,0.818,0.894
"TMEM17",-0.3215,7.9121,-1.3836,0.1665,0.3201
"EHBP1",-0.324,10.7691,-1.6393,0.1011,0.2266
"OTX1",-1.0311,7.8971,-1.9257,0.05415,0.144
"MDH1",-0.4724,12.0676,-2.913,0.00358,0.01909
"WDPCP",-0.5667,8.1785,-2.4518,0.01422,0.05391
"UGP2",0.5312,11.9799,3.2768,0.00105,0.00745
"VPS54",-0.1123,10.5383,-0.69,0.4902,0.6528
"PELI1",-0.754,10.9075,-2.9427,0.003254,0.0178
"LGALSL",-1.0653,9.9626,-3.5216,0.000429,0.003726
"AFTPH",-0.1309,11.1985,-1.2494,0.2115,0.3771
"SERTAD2",-1.1861,10.9579,-4.9807,6.336e-07,1.764e-05
"SLC1A4",-1.5152,10.5675,-5.221,1.78e-07,5.928e-06
"CEP68",-0.6504,10.1079,-2.7149,0.00663,0.0302
"RAB1A",0.0524,12.578,0.3791,0.7046,0.8168
"ACTR2",-0.1012,13.3815,-0.8505,0.3951,0.5681
"SPRED2",-0.022,10.8582,-0.1084,0.9136,0.9524
"MEIS1",-0.7535,9.6028,-2.9079,0.003638,0.0193
"ETAA1",-0.069,9.3193,-0.4981,0.6184,0.7544
"C1D",0.3181,9.1514,1.6151,0.1063,0.2344
"WDR92",-0.5035,8.8673,-3.4034,0.0006655,0.005232
"PNO1",-0.2802,9.9439,-1.7505,0.08003,0.1904
"PPP3R1",-0.4416,11.4912,-2.9147,0.003561,0.01901
"RP11-474G23.1",-0.4124,9.6912,-3.2271,0.001251,0.00858
"CNRIP1",1.0492,8.6124,3.2833,0.001026,0.007327
"PLEK",-0.7763,10.3187,-1.9753,0.04824,0.1326
"FBXO48",-0.4081,7.7542,-2.0294,0.04241,0.121
"APLF",-0.6596,7.5438,-2.2149,0.02677,0.08624
"ARHGAP25",-0.4503,9.5845,-1.6412,0.1008,0.226
"GKN2",2.586,7.8909,3.2172,0.001294,0.008783
"ANTXR1",-0.2794,12.544,-0.9678,0.3332,0.508
"GFPT1",0.7345,11.9889,3.886,0.0001019,0.001185
"NFU1",0.3831,9.7932,1.7291,0.08378,0.1968
"AAK1",-0.7975,10.7145,-3.7277,0.0001932,0.001982
"ANXA4",0.3812,12.2061,1.6625,0.09641,0.2184
"GMCL1",-0.0271,10.2826,-0.1776,0.859,0.9199
"SNRNP27",0.1847,10.0024,1.2557,0.2092,0.3745
"MXD1",-0.4256,10.5684,-1.3015,0.1931,0.3551
"ASPRV1",-1.0842,6.893,-3.6345,0.0002785,0.002654
"PCBP1",-0.2664,13.4926,-2.0035,0.04513,0.1268
"C2orf42",-0.2154,8.8302,-1.942,0.05214,0.1402
"TIA1",-0.0692,11.1229,-0.3022,0.7625,0.858
"PCYOX1",-0.119,12.3882,-0.6134,0.5396,0.6926
"SNRPG",0.0906,9.6962,0.3768,0.7063,0.8177
"FAM136A",-0.2076,10.3271,-1.0874,0.2769,0.4504
"TGFA",-0.9066,10.0082,-2.6218,0.008747,0.03716
"ADD2",-2.888,8.0391,-4.9357,7.986e-07,2.158e-05
"CLEC4F",0.6031,6.4024,1.0397,0.2985,0.4728
"CD207",0.6848,7.3355,0.9339,0.3504,0.5252
"VAX2",-0.7871,6.7219,-1.7476,0.08053,0.1911
"ATP6V1B1",0.112,7.4814,0.2477,0.8044,0.8857
"ANKRD53",-0.4259,6.7477,-1.2117,0.2256,0.3932
"TEX261",-0.2838,11.6955,-1.9398,0.05241,0.1406
"AC007040.11",-0.0985,8.7211,-0.6457,0.5185,0.6764
"NAGK",-0.4503,11.0367,-2.4916,0.01272,0.0496
"MCEE",0.7171,8.472,3.3429,0.0008292,0.006255
"MPHOSPH10",-0.2932,10.3614,-2.3423,0.01917,0.06754
"PAIP2B",0.2529,9.0242,0.8891,0.3739,0.5488
"ZNF638",0.0998,11.5902,0.6351,0.5254,0.6822
"DYSF",0.6869,10.2136,1.817,0.06921,0.1715
"CYP26B1",-1.2982,8.1812,-2.9433,0.003248,0.01778
"EXOC6B",-0.8443,10.3268,-4.3933,1.117e-05,0.0001945
"SPR",0.2832,10.2256,1.284,0.1991,0.3622
"SFXN5",-0.1228,9.0427,-0.8113,0.4172,0.5883
"RAB11FIP5",0.115,10.5721,0.5618,0.5743,0.721
"SMYD5",-0.2105,9.9842,-1.5436,0.1227,0.2592
"PRADC1",0.63,8.9771,2.663,0.007744,0.03394
"CCT7",-0.3755,12.7817,-2.7261,0.006409,0.02941
"FBXO41",-0.3382,8.6199,-0.9662,0.3339,0.5086
"ALMS1",-0.4672,10.1438,-1.7352,0.0827,0.1948
"TPRKB",-0.36,9.126,-2.2621,0.02369,0.07886
"DUSP11",-0.3731,9.8645,-2.3614,0.0182,0.06499
"STAMBP",-0.2146,10.5955,-1.5971,0.1103,0.2403
"ACTG2",-0.3541,9.4667,-0.884,0.3767,0.5514
"DGUOK",-0.0753,10.4148,-0.4643,0.6424,0.7726
"TET3",-0.8393,10.5888,-3.4385,0.000585,0.004726
"BOLA3",-0.0128,8.9486,-0.0518,0.9587,0.9774
"MOB1A",-0.3872,12.5727,-3.2919,0.0009951,0.007161
"MTHFD2",-0.3168,11.179,-1.0583,0.2899,0.4642
"SLC4A5",-0.0893,8.9242,-0.3454,0.7298,0.8348
"RP11-287D1.3",-0.3248,11.0251,-2.4065,0.01611,0.0592
"DCTN1",-0.2664,12.6803,-1.8654,0.06213,0.1587
"C2orf81",0.2977,8.1269,0.8045,0.4211,0.5919
"WDR54",-0.2692,9.1871,-0.8015,0.4228,0.5936
"RTKN",-0.367,10.1543,-1.7874,0.07387,0.1795
"INO80B",-0.0871,9.4508,-0.549,0.583,0.7276
"INO80B-WBP1",0.0776,11.026,0.5294,0.5965,0.7375
"WBP1",0.1539,10.7429,0.8845,0.3764,0.5512
"MOGS",-0.332,11.3253,-2.3272,0.01995,0.06952
"MRPL53",0.3793,10.0905,2.2178,0.02657,0.08589
"CCDC142",0.2946,10.3157,1.9864,0.04699,0.1304
"TTC31",-0.1581,9.7733,-1.0056,0.3146,0.4899
"LBX2",0.7505,7.1562,3.0881,0.002014,0.01237
"PCGF1",0.1631,9.0575,1.0675,0.2857,0.4594
"DQX1",-2.2205,6.9385,-3.8831,0.0001031,0.001196
"AUP1",0.0594,12.1091,0.3554,0.7223,0.8292
"HTRA2",0.0886,10.4082,0.626,0.5313,0.6867
"LOXL3",0.0484,9.2588,0.3384,0.7351,0.8384
"DOK1",0.6765,9.1593,2.9959,0.002736,0.01565
"M1AP",-1.1431,6.6778,-1.9776,0.04798,0.1321
"SEMA4F",-0.609,9.2371,-2.404,0.01622,0.05943
"HK2",-1.347,11.6962,-4.3357,1.453e-05,0.0002415
"POLE4",0.1806,9.9316,0.8872,0.375,0.5497
"TACR1",1.9797,6.9639,3.5809,0.0003424,0.003139
"EVA1A",1.1078,9.3112,2.6379,0.008342,0.0359
"MRPL19",-0.1181,10.3804,-0.8913,0.3728,0.5474
"GCFC2",-0.2297,9.5256,-1.5097,0.1311,0.2709
"LRRTM4",0.4892,6.3639,0.6695,0.5032,0.6638
"SUCLG1",0.0961,11.0267,0.573,0.5666,0.7148
"DNAH6",1.6092,7.4837,2.5565,0.01057,0.04303
"TMSB10",0.7452,14.8171,2.6122,0.008996,0.03796
"TRABD2A",0.5671,8.1005,1.8108,0.07017,0.1733
"KCMF1",-0.5139,11.1843,-3.7219,0.0001977,0.00202
"TCF7L1",-1.6184,9.9712,-4.3417,1.414e-05,0.0002361
"TGOLN2",0.1676,13.3619,0.9782,0.328,0.5034
"RETSAT",0.4368,11.1704,1.9636,0.04958,0.1352
"ELMOD3",0.2577,9.3004,2.0927,0.03637,0.1084
"CAPG",0.1783,12.5591,0.68,0.4965,0.6581
"SH2D6",-0.3635,6.2375,-0.7711,0.4407,0.6097
"MAT2A",-0.0231,12.4814,-0.1441,0.8854,0.9361
"GGCX",0.1814,11.6961,1.4757,0.14,0.2827
"VAMP8",1.1693,12.1665,3.9751,7.034e-05,0.0008718
"VAMP5",1.5527,10.1109,4.097,4.186e-05,0.0005656
"RNF181",0.4157,10.8786,1.9492,0.05127,0.1386
"TMEM150A",0.8127,9.3969,4.4382,9.071e-06,0.000166
"C2orf68",0.0163,10.3435,0.1089,0.9133,0.9524
"USP39",-0.3682,11.0431,-2.4658,0.01367,0.0524
"SFTPB",1.5232,15.4627,2.4166,0.01567,0.05794
"GNLY",-1.0015,8.7093,-1.911,0.056,0.1473
"ATOH8",2.1868,9.2517,4.793,1.643e-06,3.918e-05
"ST3GAL5",2.1407,10.3491,5.7649,8.168e-09,4.163e-07
"POLR1A",-0.4187,10.9842,-2.2649,0.02352,0.07842
"PTCD3",-0.122,10.8275,-1.0136,0.3108,0.4857
"IMMT",-0.2044,11.5025,-1.3871,0.1654,0.3185
"MRPL35",-0.0518,10.087,-0.3507,0.7258,0.8319
"REEP1",0.1545,7.9053,0.3422,0.7322,0.8364
"KDM3A",-0.5773,11.2456,-3.5126,0.0004438,0.003826
"CHMP3",0.0729,12.302,0.595,0.5518,0.7028
"RNF103",0.3663,10.4825,2.194,0.02824,0.08997
"RNF103-CHMP3",0.1289,10.9623,1.11,0.267,0.4392
"RMND5A",-0.5462,11.2197,-2.8703,0.004101,0.02102
"CD8A",-0.4951,8.9575,-1.1964,0.2315,0.4
"CD8B",-0.4462,7.5915,-0.9437,0.3453,0.5201
"RGPD1",0.1272,7.3641,0.3323,0.7397,0.8423
"PLGLB1",-0.0914,6.6287,-0.3086,0.7576,0.8542
"PLGLB2",0.1585,6.8839,0.5074,0.6119,0.7496
"RGPD2",0.1264,8.5771,0.4031,0.6869,0.8035
"KRCC1",0.5419,10.1854,1.9221,0.05459,0.1448
"THNSL2",0.8353,9.4435,1.9419,0.05215,0.1402
"FOXI3",-0.2564,6.3361,-0.2826,0.7775,0.8676
"EIF2AK3",-0.3541,10.3486,-1.9994,0.04557,0.1277
"RPIA",-0.4623,9.7055,-3.1882,0.001432,0.009492
"TEKT4",1.4944,6.5146,2.0748,0.03801,0.112
"MAL",0.6017,8.1245,1.4377,0.1505,0.2976
"MRPS5",0.3947,10.7426,2.1743,0.02969,0.0933
"ZNF514",0.27,9.0329,1.5161,0.1295,0.2688
"ZNF2",0.1788,8.1381,1.0842,0.2783,0.452
"AC092835.2",0.3447,6.467,0.8569,0.3915,0.5648
"PROM2",-0.4762,10.6895,-1.0051,0.3149,0.4903
"KCNIP3",0.1536,7.2706,0.3984,0.6903,0.8065
"FAHD2A",0.0433,9.4281,0.3545,0.723,0.8298
"ANKRD36C",1.102,7.5812,2.6231,0.008714,0.03708
"GPAT2",0.9623,8.0311,2.1952,0.02815,0.08981
"ADRA2B",-1.6583,6.8037,-3.0647,0.002179,0.01316
"DUSP2",-0.703,8.6929,-2.0905,0.03658,0.1089
"STARD7",-0.1727,12.881,-0.9002,0.368,0.5427
"TMEM127",0.0831,12.1006,0.449,0.6535,0.781
"CIAO1",0.3804,11.2667,3.4365,0.0005893,0.004745
"SNRNP200",0.1085,13.181,0.5756,0.5649,0.7135
"ITPRIPL1",-0.0132,7.5528,-0.0373,0.9702,0.9837
"NCAPH",-0.5256,8.7921,-1.5245,0.1274,0.2657
"NEURL3",-2.844,6.7432,-5.2581,1.456e-07,5.009e-06
"ARID5A",-0.5958,9.949,-2.6256,0.008648,0.03691
"KANSL3",-0.0481,11.1802,-0.3812,0.703,0.816
"FER1L5",0.2256,6.3092,0.4799,0.6313,0.7645
"LMAN2L",-0.1833,10.1161,-0.9025,0.3668,0.5413
"CNNM4",0.3841,10.4397,1.9116,0.05592,0.1472
"CNNM3",0.2679,10.3012,1.9759,0.04817,0.1325
"ANKRD23",0.1182,8.8901,0.9734,0.3303,0.5057
"ANKRD39",0.2035,9.0361,1.2752,0.2023,0.366
"SEMA4C",-0.3337,10.9724,-1.4354,0.1512,0.2984
"FAM178B",0.7765,6.7316,1.3687,0.1711,0.326
"FAHD2B",0.0322,8.7366,0.1501,0.8807,0.9334
"ANKRD36",0.3379,8.2103,1.0314,0.3024,0.4771
"ANKRD36B",0.5159,7.8877,1.7315,0.08337,0.196
"COX5B",0.3576,11.3202,1.4097,0.1586,0.3094
"ACTR1B",0.3914,11.2676,3.2806,0.001036,0.007379
"LINC01125",0.9764,7.1495,3.1821,0.001462,0.009631
"ZAP70",-0.2758,8.2552,-0.6926,0.4886,0.6514
"TMEM131",0.1673,11.5708,0.8228,0.4106,0.5817
"VWA3B",2.6398,7.3972,3.8715,0.0001082,0.001239
"INPP4A",-0.1863,10.4501,-0.8551,0.3925,0.5655
"COA5",0.3337,9.7508,2.5211,0.0117,0.04641
"UNC50",0.4829,10.2228,3.0189,0.002537,0.0148
"MGAT4A",1.5047,10.5892,6.381,1.759e-10,1.563e-08
"KIAA1211L",1.6093,8.941,4.537,5.706e-06,0.0001126
"C2orf15",1.1574,7.5565,4.6052,4.12e-06,8.549e-05
"TSGA10",0.7282,7.833,2.0443,0.04092,0.118
"LIPT1",0.512,8.072,2.4799,0.01314,0.05094
"MITD1",0.1691,9.2607,0.8969,0.3698,0.5446
"RP11-38C17.1",0.0651,8.4647,0.3622,0.7172,0.8256
"MRPL30",-0.1361,10.2898,-0.8578,0.391,0.5643
"LYG1",-0.2606,6.5513,-0.6516,0.5147,0.6729
"RP11-111H13.1",0.1672,9.1454,0.9721,0.331,0.5063
"TXNDC9",0.4775,10.1091,2.0777,0.03774,0.1113
"EIF5B",0.0414,12.3266,0.1986,0.8425,0.9099
"REV1",-0.0012,10.5273,-0.0069,0.9945,0.9968
"AFF3",0.5068,8.5145,0.9665,0.3338,0.5086
"LONRF2",1.4721,8.308,2.8007,0.005099,0.02467
"CHST10",-0.2782,9.088,-0.9675,0.3333,0.5081
"PDCL3",-0.0755,9.2285,-0.4592,0.6461,0.7756
"NPAS2",-0.2011,9.7037,-0.5697,0.5689,0.7166
"RPL31",0.5763,13.753,2.393,0.01671,0.06089
"TBC1D8",0.4024,10.2552,1.8577,0.06321,0.1604
"CNOT11",0.3744,10.9214,2.5248,0.01158,0.04602
"RNF149",-0.0241,11.2976,-0.1263,0.8995,0.9449
"CREG2",-0.3297,6.6271,-0.6305,0.5283,0.6846
"RFX8",-0.2005,6.392,-0.4795,0.6316,0.7646
"MAP4K4",-0.1963,12.1689,-1.046,0.2955,0.4695
"IL1R2",-0.2429,7.8159,-0.4587,0.6465,0.7759
"IL1R1",0.2442,11.9527,0.8557,0.3922,0.5653
"IL1RL2",-0.0341,6.9806,-0.0862,0.9313,0.9625
"IL1RL1",0.5273,8.1203,1.1637,0.2445,0.4145
"IL18R1",-0.8328,8.1815,-2.6332,0.00846,0.03631
"IL18RAP",-0.4659,7.0279,-1.0261,0.3048,0.4795
"SLC9A2",-3.2544,7.3813,-4.7183,2.378e-06,5.34e-05
"MFSD9",0.2502,9.1264,1.7153,0.08629,0.2015
"TMEM182",0.8466,8.1933,3.8194,0.0001338,0.00148
"MRPS9",-0.0466,9.7677,-0.3503,0.7261,0.8321
"TGFBRAP1",-0.1988,10.314,-1.6302,0.1031,0.2298
"C2orf49",0.004,9.684,0.0239,0.981,0.9898
"FHL2",0.3047,10.0371,0.8736,0.3823,0.5564
"NCK2",-0.7172,10.8421,-4.082,4.465e-05,0.0005971
"C2orf40",1.926,7.3172,3.6726,0.0002401,0.00234
"UXS1",-0.353,11.3321,-1.694,0.09027,0.2081
"RGPD3",-0.2213,8.0267,-1.0384,0.2991,0.4735
"ST6GAL2",-2.848,7.5076,-5.8642,4.514e-09,2.476e-07
"RGPD4",-0.036,8.014,-0.1987,0.8425,0.9099
"SLC5A7",-6.9931,6.3524,-6.9968,2.618e-12,3.992e-10
"SULT1C2",1.5626,7.6674,3.2054,0.001349,0.009076
"SULT1C4",-0.3918,7.5166,-1.1955,0.2319,0.4003
"GCC2",0.7489,10.6955,3.9975,6.401e-05,0.0008065
"LIMS1",-0.3351,11.5522,-2.1396,0.03239,0.09964
"RANBP2",-0.0783,12.09,-0.4394,0.6603,0.7855
"CCDC138",-0.4203,8.0891,-1.5914,0.1115,0.242
"EDAR",-1.0466,7.2946,-1.9861,0.04702,0.1305
"SH3RF3",-0.6618,8.9908,-2.1464,0.03184,0.09839
"SEPT10",-0.1057,11.226,-0.5308,0.5956,0.7368
"SOWAHC",-0.4749,10.3523,-1.3114,0.1897,0.3506
"RGPD5",0.0274,9.7448,0.133,0.8942,0.9413
"LIMS3",-0.1853,7.8144,-0.926,0.3545,0.529
"AC013271.7",-0.0217,7.8497,-0.1055,0.916,0.9539
"MALL",1.3023,12.3324,2.7071,0.006787,0.03077
"NPHP1",0.87,8.388,2.5475,0.01085,0.04392
"LINC00116",0.5123,8.7884,1.8779,0.0604,0.1553
"AC108938.5",0.011,7.0583,0.0434,0.9654,0.9813
"LIMS4",-0.2981,6.9902,-1.3948,0.1631,0.3153
"RGPD6",0.213,6.3241,0.7235,0.4694,0.6342
"BUB1",-0.3963,9.333,-1.4122,0.1579,0.3084
"ACOXL",2.0161,7.8729,4.1568,3.228e-05,0.0004597
"BCL2L11",-0.1746,10.5336,-0.9291,0.3528,0.5276
"ANAPC1",-0.161,10.4851,-1.1948,0.2322,0.4005
"MERTK",-0.7194,9.4831,-2.3902,0.01684,0.06129
"TMEM87B",0.1321,10.8775,0.7347,0.4625,0.6286
"FBLN7",1.2835,7.8903,3.4394,0.000583,0.004715
"ZC3H8",-0.2853,8.6231,-1.5269,0.1268,0.2653
"ZC3H6",0.7375,9.1359,3.1391,0.001695,0.01076
