"gene","logFC","AveExpr","t","pvalue","padj"
"ZNF727",0.7345,6.3892,1.144,0.2526,0.4236
"ZNF736",-0.1439,8.8608,-0.5394,0.5896,0.7327
"ZNF680",0.2883,8.8935,1.165,0.244,0.414
"ZNF107",-0.0233,8.72,-0.097,0.9227,0.9575
"ZNF138",-0.039,8.2489,-0.1651,0.8689,0.9257
"ZNF273",-0.3222,8.268,-1.0246,0.3055,0.4804
"ZNF117",0.6278,9.9291,1.5184,0.1289,0.2678
"ERV3-1",1.1076,9.4965,2.5922,0.009537,0.03979
"ZNF92",0.1305,8.547,0.5971,0.5505,0.7018
"VKORC1L1",0.5463,11.449,2.7982,0.005139,0.02484
"GUSB",0.4501,11.6031,2.9754,0.002926,0.01646
"ASL",1.3178,10.4366,6.1338,8.582e-10,5.993e-08
"AC068533.7",0.9911,9.7305,5.3293,9.858e-08,3.562e-06
"CRCP",0.0235,10.5472,0.1486,0.8819,0.9342
"TPST1",-0.5837,9.6248,-2.4458,0.01445,0.05464
"KCTD7",0.2608,9.0746,1.4046,0.1601,0.3114
"RABGEF1",-0.0339,10.4677,-0.2608,0.7942,0.878
"TMEM248",0.0088,12.2495,0.0605,0.9517,0.9727
"SBDS",0.3964,11.4881,1.9006,0.05736,0.1499
"TYW1",0.1818,10.091,1.14,0.2543,0.4253
"AUTS2",-0.2267,10.6902,-0.6607,0.5088,0.6686
"WBSCR17",-1.6235,7.9239,-3.1393,0.001694,0.01076
"TYW1B",0.0269,8.2404,0.1043,0.917,0.9543
"POM121",-0.4293,11.6844,-2.5929,0.009518,0.03974
"TRIM74",-0.6042,6.4388,-1.5956,0.1106,0.2406
"NSUN5",0.1705,9.8992,0.8723,0.3831,0.557
"FZD9",-1.1313,6.5641,-1.7187,0.08567,0.2003
"BAZ1B",-0.3365,11.8933,-2.0894,0.03667,0.1091
"BCL7B",0.2001,10.8351,1.29,0.1971,0.3595
"TBL2",0.0545,10.6709,0.3252,0.7451,0.846
"MLXIPL",-0.1456,7.4103,-0.2771,0.7817,0.8706
"VPS37D",0.3716,7.2953,1.0682,0.2854,0.4591
"DNAJC30",-0.0138,9.068,-0.0839,0.9332,0.9633
"WBSCR22",0.0263,11.3969,0.192,0.8478,0.9134
"STX1A",0.8151,8.2888,2.614,0.00895,0.0378
"ABHD11",0.0446,9.8368,0.2427,0.8083,0.8882
"CLDN3",1.6457,9.432,3.4794,0.0005025,0.004218
"CLDN4",0.6818,12.8936,2.4194,0.01555,0.05763
"WBSCR27",-0.4923,7.6613,-1.3186,0.1873,0.3477
"ELN",0.3686,11.2158,0.9399,0.3473,0.5224
"LIMK1",-0.2391,10.9777,-1.2108,0.226,0.3937
"EIF4H",-0.3714,13.0599,-2.4859,0.01292,0.05029
"LAT2",0.3309,9.333,0.9976,0.3185,0.4943
"RFC2",-0.3927,10.03,-2.2129,0.02691,0.08663
"CLIP2",-1.1306,9.9528,-4.9568,7.166e-07,1.958e-05
"GTF2IRD1",-0.8749,9.9319,-4.0975,4.176e-05,0.0005651
"GTF2I",-0.1936,12.0807,-1.02,0.3077,0.4824
"NCF1",-0.5994,8.877,-1.6635,0.0962,0.2183
"GTF2IRD2",0.4245,9.0756,1.818,0.06906,0.1712
"GATSL2",-0.1948,7.0597,-0.716,0.474,0.6384
"RCC1L",-0.249,10.7576,-1.8928,0.05838,0.152
"GTF2IRD2B",0.5364,9.013,2.3488,0.01883,0.06664
"TRIM73",0.0609,7.322,0.1957,0.8449,0.9112
"POM121C",-0.558,11.1621,-2.8327,0.004616,0.02287
"SPDYE5",-0.4267,6.7224,-1.4977,0.1342,0.275
"HIP1",0.1259,11.2825,0.4506,0.6523,0.7801
"CCL26",-1.4818,6.469,-2.7556,0.005858,0.02752
"CCL24",-0.1865,6.7344,-0.3422,0.7322,0.8364
"RHBDD2",-0.1536,11.9555,-0.8671,0.3859,0.5595
"POR",-0.0798,12.1462,-0.3237,0.7461,0.8466
"TMEM120A",0.3512,10.0158,1.6563,0.09766,0.2207
"STYXL1",0.1676,9.9447,0.7683,0.4423,0.6112
"MDH2",-0.0969,12.4718,-0.4793,0.6318,0.7647
"SRRM3",-0.8245,7.6339,-2.2642,0.02356,0.07849
"HSPB1",-1.7241,13.3443,-5.3739,7.705e-08,2.852e-06
"YWHAG",-0.2895,12.9578,-1.5055,0.1322,0.2723
"SSC4D",-0.5354,7.209,-1.5496,0.1212,0.2571
"ZP3",-0.4634,8.554,-1.3758,0.1689,0.3235
"DTX2",-0.5473,10.3113,-2.1113,0.03475,0.1048
"UPK3B",-0.7301,9.8771,-1.3641,0.1725,0.3281
"SPDYE16",-0.4528,6.602,-1.8495,0.06439,0.1625
"POMZP3",-0.5114,8.983,-1.8067,0.07081,0.1743
"FGL2",0.4419,10.2092,1.1261,0.2601,0.4316
"CCDC146",0.1166,8.3861,0.2602,0.7947,0.8782
"GSAP",0.7312,10.2044,2.7088,0.006753,0.03064
"PTPN12",-0.0126,12.0018,-0.069,0.945,0.9695
"RSBN1L",0.0368,10.3622,0.2035,0.8388,0.9076
"TMEM60",0.2325,9.0659,1.3154,0.1884,0.3492
"PHTF2",-0.0887,10.1527,-0.4935,0.6216,0.7572
"MAGI2",0.4706,8.6095,1.8304,0.06719,0.1677
"GNAI1",-0.4667,10.3043,-1.7013,0.08889,0.2058
"CD36",-0.9299,10.3909,-1.8371,0.0662,0.1658
"SEMA3C",0.2724,11.0469,0.7286,0.4663,0.6315
"HGF",1.0023,8.776,2.9167,0.003537,0.01892
"CACNA2D1",-1.1941,9.1508,-2.7808,0.005423,0.02586
"PCLO",-0.3679,8.5588,-0.8757,0.3812,0.5556
"SEMA3E",1.6854,8.272,2.9496,0.003182,0.01749
"SEMA3A",1.0612,8.7276,2.3034,0.02125,0.07298
"SEMA3D",-0.4428,8.5005,-0.8775,0.3802,0.5545
"KIAA1324L",-0.086,9.9506,-0.3102,0.7564,0.8535
"DMTF1",-0.224,10.5928,-1.2752,0.2022,0.366
"TMEM243",1.072,9.8216,4.3605,1.298e-05,0.0002203
"CROT",-0.9053,9.2837,-3.0157,0.002564,0.0149
"ABCB4",0.9899,6.6073,2.6225,0.00873,0.03713
"ABCB1",0.7988,7.7611,1.9584,0.05019,0.1364
"RUNDC3B",0.5012,6.6203,1.0783,0.2809,0.4547
"SLC25A40",0.186,9.5764,1.0008,0.3169,0.4926
"DBF4",-0.5908,8.7243,-2.8991,0.003742,0.0197
"ADAM22",-0.5114,7.9142,-1.1532,0.2488,0.4197
"SRI",1.1877,11.5114,4.4786,7.512e-06,0.0001416
"STEAP4",2.5742,11.1978,5.0457,4.519e-07,1.322e-05
"STEAP1",0.0763,8.8233,0.1752,0.8609,0.921
"STEAP2",0.3986,9.6529,1.0765,0.2817,0.4556
"CFAP69",0.7754,7.7131,2.2979,0.02157,0.07378
"GTPBP10",-0.0604,9.4986,-0.3449,0.7302,0.8351
"CLDN12",0.5589,10.7236,2.4758,0.01329,0.05136
"CDK14",-0.5075,9.9332,-1.9041,0.05689,0.1489
"FZD1",-0.0085,10.8379,-0.0262,0.9791,0.9889
"MTERF1",-0.4981,8.7394,-2.4268,0.01523,0.05685
"AKAP9",0.5365,11.305,2.2305,0.02572,0.0838
